auc,auc_abs,ap,tpr@1fpr,tpr@5fpr,tpr@1fpr_abs,poison_rate,auc_target_class,auc_target_class_abs,tpr@1fpr_target_class,tpr@1fpr_target_class_abs,auc_target_class_best,direction,tpr@1fpr_target_class_best,elimination_rate,sacrifice_rate,precision,recall,f1,n_removed,residual_poison_rate,attack,rate,hash,n_bits,family,threshold,detector,rule,t_hash_s,t_detect_s
0.40156242947368415,0.5317882568421053,0.038501900182170486,0.0,0.006,0.0,0.05,0.4067179605539236,0.5234681074276122,0.0276,0.0088,0.5932820394460764,-1,0.0276,0.0,0.0009263157894736842,0.0,0.0,0.0,44,0.05004403875410361,badnets,0.05,ahash,64,spatial,mean,bit_llr,mad,0.15,0.06
0.6627743873684211,0.48946592,0.1485161257147826,0.0,0.4024,0.0,0.05,0.4209726395300042,0.4533143096936634,0.0,0.0,0.5790273604699958,-1,0.0,0.4044,0.33018947368421053,0.0605570530098832,0.4044,0.1053399322740297,16695,0.044708001801531304,badnets,0.05,ahash,64,spatial,mean,bit_em,mad,0.15,0.29
0.4152073936842105,0.4916877726315789,0.04083405509811366,0.0036,0.0372,0.004,0.05,0.358311540075535,0.47179823751573646,0.0004,0.0004,0.641688459924465,-1,0.026,0.0,0.0,0.0,0.0,0.0,0,0.05,badnets,0.05,ahash,64,spatial,mean,hamming_knn,mad,0.15,0.439
0.5099864715789474,0.18241448000000002,0.05929771539852941,0.0,0.0,0.0,0.05,0.4040703734788082,0.4040703734788082,0.0,0.0,0.5959296265211917,-1,0.0,0.0104,0.15317894736842105,0.0035606683100520404,0.0104,0.005305039787798408,7302,0.057941823973019814,badnets,0.05,ahash,64,spatial,mean,hamming_ball,mad,0.15,0.434
0.4248656421052631,0.4833536505263158,0.04935532772686452,0.0,0.0724,0.0,0.05,0.3756860679815358,0.4816316407889215,0.0,0.0,0.6243139320184642,-1,0.0288,0.1588,0.10484210526315789,0.07383299237493025,0.1588,0.10079979687698362,5377,0.047128162606727475,badnets,0.05,ahash,64,spatial,mean,block_collision,mad,0.15,0.159
0.506065292631579,0.45931205894736843,0.049106581970392665,0.004,0.0508,0.004,0.05,0.4782836760386068,0.45073994964330677,0.0068,0.0068,0.5217163239613932,-1,0.0084,0.0,0.0008842105263157895,0.0,0.0,0.0,42,0.050042035309660116,badnets,0.05,ahash,64,spatial,mean,hash_spectral,mad,0.15,0.046
0.4200170063157895,0.48401595789473684,0.04066565028414941,0.0012,0.0112,0.0008,0.05,0.3868864456567352,0.512418422156945,0.006,0.01,0.6131135543432649,-1,0.0104,0.0,0.00048421052631578945,0.0,0.0,0.0,23,0.05002301058486904,badnets,0.05,ahash,64,spatial,mean,hash_stability,mad,0.15,0.03
0.39841137684210526,0.5464621726315788,0.03847412797311566,0.0,0.0,0.0,0.05,0.41397398237515737,0.5504219890893831,0.0312,0.0096,0.5860260176248426,-1,0.0312,0.0,0.0013473684210526316,0.0,0.0,0.0,64,0.05006408202499199,badnets,0.05,ahash4,16,spatial,mean,bit_llr,mad,0.134,0.048
0.3494707873684211,0.6379769178947369,0.036971652594522786,0.0,0.0,0.0,0.05,0.40603810323122114,0.5736996223248007,0.0,0.0,0.5939618967687789,-1,0.0,0.5048,0.14482105263157893,0.15501781107971993,0.5048,0.23719575227892115,8141,0.029575479586229962,badnets,0.05,ahash4,16,spatial,mean,bit_em,mad,0.134,0.149
0.450374092631579,0.4906614189473684,0.046055146328372855,0.0,0.04,0.0,0.05,0.38877889215274863,0.4762279060008393,0.0,0.0088,0.6112211078472514,-1,0.0088,0.0,0.0,0.0,0.0,0.0,0,0.05,badnets,0.05,ahash4,16,spatial,mean,hamming_knn,mad,0.134,0.398
