component,circ_n_mult,circ_n_and,circ_n_cmp,circ_n_eq,circ_n_b2a,circ_n_trunc,circ_n_local_mac,circ_rounds,protocol,rounds,and_gates,mults,online_bits,online_MB,offline_MB,online_bits_per_item,time_ms,latency_ms,bandwidth_ms,network
hashing/pdq (50k images),0.0,0.0,1644800000.0,0.0,1632000000.0,972800000.0,42752000000.0,11.0,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",12,524230400000.0,0.0,2430336000000,303792.0,16775372.8,48606720.0,12152160.0,480.0,12151680.0,WAN
phash-sieve/bit_llr (B=1024),50008.0,0.0,50000.0,0.0,51200000.0,0.0,51200000.0,17.0,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",17,16050000.0,50008.0,9888151536,1236.018942,0.0,197763.03072,3299.450512,3.4000000000000004,3296.050512,LAN
phash-sieve/bit_llr (B=1024),50008.0,0.0,50000.0,0.0,51200000.0,0.0,51200000.0,17.0,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",17,16050000.0,50008.0,9888151536,1236.018942,0.0,197763.03072,33640.50512,680.0,32960.50512,WAN
phash-sieve/bit_llr (B=1024),50008.0,0.0,50000.0,0.0,51200000.0,0.0,51200000.0,17.0,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",17,16050000.0,50008.0,6630602048,828.825256,616.016384,132612.04096,3318.701024,3.4000000000000004,3315.301024,LAN
phash-sieve/bit_llr (B=1024),50008.0,0.0,50000.0,0.0,51200000.0,0.0,51200000.0,17.0,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",17,16050000.0,50008.0,6630602048,828.825256,616.016384,132612.04096,33833.01024,680.0,33153.01024,WAN
"phash-sieve/block_collision (225 tiles x 16 bit, B=1024)",511875000.0,0.0,511875000.0,11250000.0,0.0,0.0,0.0,459.0,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",459,25250625000.0,511875000.0,174031875000,21753.984375,0.0,3480637.5,58102.425,91.80000000000001,58010.625,LAN
"phash-sieve/block_collision (225 tiles x 16 bit, B=1024)",511875000.0,0.0,511875000.0,11250000.0,0.0,0.0,0.0,459.0,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",459,25250625000.0,511875000.0,174031875000,21753.984375,0.0,3480637.5,598466.25,18360.0,580106.25,WAN
"phash-sieve/block_collision (225 tiles x 16 bit, B=1024)",511875000.0,0.0,511875000.0,11250000.0,0.0,0.0,0.0,459.0,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",459,25250625000.0,511875000.0,232042500000,29005.3125,1856340.0,4640850.0,116113.05,91.80000000000001,116021.25,LAN
"phash-sieve/block_collision (225 tiles x 16 bit, B=1024)",511875000.0,0.0,511875000.0,11250000.0,0.0,0.0,0.0,459.0,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",459,25250625000.0,511875000.0,232042500000,29005.3125,1856340.0,4640850.0,1178572.5,18360.0,1160212.5,WAN
phash-sieve/hash_stability (B=1024),0.0,51200000.0,50000.0,0.0,0.0,0.0,0.0,14.0,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",14,52900000.0,0.0,158700000,19.8375,0.0,3174.0,55.7,2.8000000000000003,52.900000000000006,LAN
phash-sieve/hash_stability (B=1024),0.0,51200000.0,50000.0,0.0,0.0,0.0,0.0,14.0,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",14,52900000.0,0.0,158700000,19.8375,0.0,3174.0,1089.0,560.0,529.0,WAN
phash-sieve/hash_stability (B=1024),0.0,51200000.0,50000.0,0.0,0.0,0.0,0.0,14.0,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",14,52900000.0,0.0,211600000,26.45,1692.8,4232.0,108.60000000000001,2.8000000000000003,105.80000000000001,LAN
phash-sieve/hash_stability (B=1024),0.0,51200000.0,50000.0,0.0,0.0,0.0,0.0,14.0,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",14,52900000.0,0.0,211600000,26.45,1692.8,4232.0,1618.0,560.0,1058.0,WAN
"phash-sieve/hamming_knn (B=1024, k=10)",500000.0,127974400000.0,2624975000.0,0.0,0.0,0.0,0.0,65.0,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",65,217223550000.0,500000.0,651766650000,81470.83125,0.0,13035333.0,217268.55,13.0,217255.55,LAN
"phash-sieve/hamming_knn (B=1024, k=10)",500000.0,127974400000.0,2624975000.0,0.0,0.0,0.0,0.0,65.0,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",65,217223550000.0,500000.0,651766650000,81470.83125,0.0,13035333.0,2175155.5,2600.0,2172555.5,WAN
"phash-sieve/hamming_knn (B=1024, k=10)",500000.0,127974400000.0,2624975000.0,0.0,0.0,0.0,0.0,65.0,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",65,217223550000.0,500000.0,869022200000,108627.775,6952177.6,17380444.0,434524.1,13.0,434511.1,LAN
"phash-sieve/hamming_knn (B=1024, k=10)",500000.0,127974400000.0,2624975000.0,0.0,0.0,0.0,0.0,65.0,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",65,217223550000.0,500000.0,869022200000,108627.775,6952177.6,17380444.0,4347711.0,2600.0,4345111.0,WAN
phash-sieve/bit_llr (B=256),50008.0,0.0,50000.0,0.0,12800000.0,0.0,12800000.0,17.0,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",17,16050000.0,50008.0,2515351536,314.418942,0.0,50307.03072,841.850512,3.4000000000000004,838.450512,LAN
phash-sieve/bit_llr (B=256),50008.0,0.0,50000.0,0.0,12800000.0,0.0,12800000.0,17.0,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",17,16050000.0,50008.0,2515351536,314.418942,0.0,50307.03072,9064.50512,680.0,8384.50512,WAN
phash-sieve/bit_llr (B=256),50008.0,0.0,50000.0,0.0,12800000.0,0.0,12800000.0,17.0,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",17,16050000.0,50008.0,1715402048,214.425256,616.016384,34308.04096,861.101024,3.4000000000000004,857.7010240000001,LAN
