auc,auc_abs,ap,tpr@1fpr,tpr@5fpr,tpr@1fpr_abs,poison_rate,auc_target_class,auc_target_class_abs,tpr@1fpr_target_class,tpr@1fpr_target_class_abs,auc_target_class_best,direction,tpr@1fpr_target_class_best,elimination_rate,sacrifice_rate,precision,recall,f1,n_removed,residual_poison_rate,attack,rate,hash,n_bits,family,threshold,detector,rule,t_hash_s,t_detect_s
0.31152024120603017,0.5748099698492463,0.0032568590733230373,0.0,0.0,0.024,0.005,0.3515265273311897,0.5501414790996784,0.004,0.024,0.6484734726688103,-1.0,0.024,0.0,0.0009849246231155779,0.0,0.0,0.0,49,0.005004904806710576,badnets,0.005,ahash,64,spatial,mean,bit_llr,mad,0.152,0.06
0.652190311557789,0.5099753969849247,0.016869621811190335,0.0,0.384,0.0,0.005,0.43308721864951766,0.445496382636656,0.0,0.0,0.5669127813504824,-1.0,0.0,0.388,0.37668341708542713,0.005149439932048628,0.388,0.010163985959029707,18837,0.00490966851715175,badnets,0.005,ahash,64,spatial,mean,bit_em,mad,0.152,0.292
0.35538878391959794,0.5329735075376885,0.00354966162615266,0.0,0.008,0.012,0.005,0.3382150321543408,0.5258110932475883,0.0,0.012,0.6617849678456592,-1.0,0.032,0.0,0.0,0.0,0.0,0.0,0,0.005,badnets,0.005,ahash,64,spatial,mean,hamming_knn,mad,0.152,0.437
0.32954854271356776,0.4542686231155779,0.004356017223564937,0.0,0.024,0.0,0.005,0.3829803054662379,0.44610530546623794,0.0,0.0,0.617019694533762,-1.0,0.0,0.08,0.1695075376884422,0.002366023896841358,0.08,0.004596116281741928,8453,0.0055358991022215805,badnets,0.005,ahash,64,spatial,mean,hamming_ball,mad,0.152,0.45
0.365172743718593,0.4880889246231156,0.00397443624935593,0.0,0.0,0.0,0.005,0.35188504823151123,0.5058979099678457,0.0,0.0,0.6481149517684888,-1.0,0.028,0.116,0.10765829145728643,0.005385329619312906,0.116,0.010292812777284827,5385,0.004953490978370503,badnets,0.005,ahash,64,spatial,mean,block_collision,mad,0.152,0.158
0.515542432160804,0.4609576683417085,0.0052190973801914675,0.008,0.064,0.008,0.005,0.4933030546623794,0.4586897106109325,0.008,0.008,0.5066969453376207,-1.0,0.008,0.0,0.0009045226130653266,0.0,0.0,0.0,45,0.005004504053648284,badnets,0.005,ahash,64,spatial,mean,hash_spectral,mad,0.152,0.044
0.3554353366834171,0.543365025125628,0.003611655830714753,0.0,0.0,0.008,0.005,0.38259364951768493,0.5396213826366559,0.0,0.008,0.6174063504823151,-1.0,0.008,0.0,0.0005628140703517588,0.0,0.0,0.0,28,0.005002801568878572,badnets,0.005,ahash,64,spatial,mean,hash_stability,mad,0.152,0.029
0.3418258894472362,0.5830465527638191,0.0034560023153151747,0.0,0.0,0.016,0.005,0.3839642282958199,0.5742922025723473,0.004,0.04,0.6160357717041801,-1.0,0.04,0.0,0.0013065326633165829,0.0,0.0,0.0,65,0.005006508460999299,badnets,0.005,ahash4,16,spatial,mean,bit_llr,mad,0.136,0.048
0.6285365628140704,0.5749286030150754,0.01476466760498256,0.028,0.388,0.0,0.005,0.41029622186495174,0.4514569935691318,0.0,0.0,0.5897037781350483,-1.0,0.0,0.356,0.15425125628140704,0.011464639958778822,0.356,0.022213902408586048,7763,0.0038118237564220944,badnets,0.005,ahash4,16,spatial,mean,bit_em,mad,0.136,0.148
0.3779997185929648,0.5765238994974874,0.004016842489892484,0.0,0.048,0.024,0.005,0.3649324758842444,0.5442351286173633,0.0,0.024,0.6350675241157556,-1.0,0.024,0.0,0.0,0.0,0.0,0.0,0,0.005,badnets,0.005,ahash4,16,spatial,mean,hamming_knn,mad,0.136,0.396
0.3895773266331658,0.41529069346733677,0.00486162953206717,0.0,0.02,0.0,0.005,0.39937017684887455,0.4494831189710611,0.0,0.0,0.6006298231511255,-1.0,0.0,0.06,0.13224120603015074,0.0022747952684258415,0.06,0.004383401519579193,6594,0.00541399806478367,badnets,0.005,ahash4,16,spatial,mean,hamming_ball,mad,0.136,0.394
0.3896812060301508,0.4776637989949749,0.004489534082826239,0.02,0.02,0.02,0.005,0.3763902733118971,0.4476736334405145,0.0,0.0,0.6236097266881029,-1.0,0.0,0.128,0.18976884422110551,0.00337802174601499,0.128,0.0065823305564126295,9473,0.005379129962740889,badnets,0.005,ahash4,16,spatial,mean,block_collision,mad,0.136,0.04
0.5087751155778895,0.49096751758793966,0.0054863664977401975,0.0,0.08,0.0,0.005,0.5004754823151125,0.4878034565916399,0.0,0.0,0.5004754823151125,1.0,0.016,0.0,0.002190954773869347,0.0,0.0,0.0,109,0.005010923813914333,badnets,0.005,ahash4,16,spatial,mean,hash_spectral,mad,0.136,0.042
