hash,n_bits,family,threshold,bit_agreement,circ_n_mult,circ_n_and,circ_n_cmp,circ_n_eq,circ_n_b2a,circ_n_trunc,circ_n_local_mac,circ_rounds,protocol,rounds,and_gates,mults,online_bits,online_MB,offline_MB,online_bits_per_item,time_ms,latency_ms,bandwidth_ms,network
whash_haar,64,wavelet,median,1.0,0,0,2080,0,2016,3392,78848,10,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",11,648096,0,3284608,0.410576,20.739072,3284608.0,3.8423040000000004,2.2,1.642304,LAN
whash_haar,64,wavelet,median,1.0,0,0,2080,0,2016,3392,78848,10,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",11,648096,0,3284608,0.410576,20.739072,3284608.0,456.42304,440.0,16.42304,WAN
blockhash,256,spatial,median,0.999603271484375,0,0,8320,0,8064,1792,27648,10,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",10,2592384,0,9325440,1.16568,0.0,9325440.0,5.10848,2.0,3.1084799999999997,LAN
blockhash,256,spatial,median,0.999603271484375,0,0,8320,0,8064,1792,27648,10,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",10,2592384,0,9325440,1.16568,0.0,9325440.0,431.0848,400.0,31.084799999999998,WAN
blockhash,256,spatial,median,0.999603271484375,0,0,8320,0,8064,1792,27648,10,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",11,2592384,0,11631104,1.453888,82.956288,11631104.0,8.015552,2.2,5.815552,LAN
blockhash,256,spatial,median,0.999603271484375,0,0,8320,0,8064,1792,27648,10,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",11,2592384,0,11631104,1.453888,82.956288,11631104.0,498.15552,440.0,58.15552,WAN
pdq,256,frequency,median,0.99993896484375,0,0,32896,0,32640,19456,855040,11,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",11,10484608,0,37720704,4.715088,0.0,37720704.0,14.773568000000001,2.2,12.573568,LAN
pdq,256,frequency,median,0.99993896484375,0,0,32896,0,32640,19456,855040,11,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",11,10484608,0,37720704,4.715088,0.0,37720704.0,565.73568,440.0,125.73567999999999,WAN
pdq,256,frequency,median,0.99993896484375,0,0,32896,0,32640,19456,855040,11,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",12,10484608,0,48606720,6.07584,335.507456,48606720.0,26.703359999999996,2.4000000000000004,24.303359999999998,LAN
pdq,256,frequency,median,0.99993896484375,0,0,32896,0,32640,19456,855040,11,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",12,10484608,0,48606720,6.07584,335.507456,48606720.0,723.0336,480.0,243.03359999999998,WAN
rhash8,64,residual,zero,0.9979248046875,0,0,64,0,0,3392,78848,6,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",6,20544,0,61632,0.007704,0.0,61632.0,1.220544,1.2000000000000002,0.020544,LAN
rhash8,64,residual,zero,0.9979248046875,0,0,64,0,0,3392,78848,6,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",6,20544,0,61632,0.007704,0.0,61632.0,240.20544,240.0,0.20544,WAN
rhash8,64,residual,zero,0.9979248046875,0,0,64,0,0,3392,78848,6,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",7,20544,0,516352,0.064544,0.657408,516352.0,1.658176,1.4000000000000001,0.258176,LAN
rhash8,64,residual,zero,0.9979248046875,0,0,64,0,0,3392,78848,6,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",7,20544,0,516352,0.064544,0.657408,516352.0,282.58176,280.0,2.5817599999999996,WAN
rhash16,256,residual,zero,0.997344970703125,0,0,256,0,0,3840,93184,6,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",6,82176,0,246528,0.030816,0.0,246528.0,1.2821760000000002,1.2000000000000002,0.082176,LAN
rhash16,256,residual,zero,0.997344970703125,0,0,256,0,0,3840,93184,6,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",6,82176,0,246528,0.030816,0.0,246528.0,240.82176,240.0,0.82176,WAN
rhash16,256,residual,zero,0.997344970703125,0,0,256,0,0,3840,93184,6,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",7,82176,0,820224,0.102528,2.629632,820224.0,1.8101120000000002,1.4000000000000001,0.41011200000000003,LAN
rhash16,256,residual,zero,0.997344970703125,0,0,256,0,0,3840,93184,6,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",7,82176,0,820224,0.102528,2.629632,820224.0,284.10112,280.0,4.10112,WAN
rhash32,1024,residual,zero,0.9964141845703125,0,0,1024,0,0,5120,134144,6,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",6,328704,0,986112,0.123264,0.0,986112.0,1.5287040000000003,1.2000000000000002,0.328704,LAN
rhash32,1024,residual,zero,0.9964141845703125,0,0,1024,0,0,5120,134144,6,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",6,328704,0,986112,0.123264,0.0,986112.0,243.28704,240.0,3.28704,WAN
